city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
wroclaw,OSIEDLE HARMONIA,C,,C 68,64.392,dwu­poziomowe,2 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle harmonia_1_1_c_mk_68,/getmedia/c08d9a58-a855-466b-a461-7681ec73bfe9/OSIEDLE%20HARMONIA_1_1_C_MK_68_Rzut%203D_1.jpg?width=276,2025-11-04,,wroclaw|OSIEDLE HARMONIA|C|C 68
warszawa,APARTAMENTY BEETHOVENA,D,,D 26,36.562,2 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty beethovena_2_1_d_mk_26,/getmedia/a8ff3054-fc8c-4f64-bce8-382e361844a7/APARTAMENTY%20BEETHOVENA_2_1_D_MK_26_Rzut%203D_1.jpg?width=276,2025-11-04,,warszawa|APARTAMENTY BEETHOVENA|D|D 26
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 70,33.602,1 pokój z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_70,/getmedia/0fc9f8af-fffa-4b00-a34e-6f907bdadf89/[APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_4_70][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2025-11-04,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 70
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 76,38.592,1 pokój z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_76,/getmedia/59e434df-a837-4966-bd60-ef0b56f1e74e/[APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_4_76][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2025-11-04,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 76
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 77,45.372,1 pokój z aneksem,4 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_77,/getmedia/cd5f86da-2a9e-4d7b-8ffa-da3080ba7732/[APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_4_77][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2025-11-04,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 77
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 166,26.832,1 pokój z aneksem,8 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_166,/getmedia/6ff846ba-f77a-4a9c-b52c-49fcbca2efa2/[APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_8_166][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2025-11-04,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 166
warszawa,APARTAMENTY GRZYBOWSKA 11,A,,A 167,42.242,1 pokój z aneksem,8 piętro,LOGGIA,,,False,/pl-pl/warszawa/mieszkanie?id=apartamenty grzybowska 11_1_1_a_mk_167,/getmedia/c883db6a-096f-4e66-81ae-4fef2f20cfb2/[APARTAMENTY%20GRZYBOWSKA%2011_1_1_A_8_167][MK][RZUT][Plan%20mieszkania]_l.jpg?width=276,2025-11-04,,warszawa|APARTAMENTY GRZYBOWSKA 11|A|A 167
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,G,,G 8,33.312,2 pokoje z aneksem,Parter,OGRÓDEK,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_4_g_mk_8,/getmedia/d3debff5-9d55-4778-9d77-099bf977781a/METRO%20ZACH%c3%93D_8_4_G_MK_8_Rzut%203D_1.jpg?width=276,2025-11-04,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|G|G 8
warszawa,DZIELNICA MIESZKANIOWA METRO ZACHÓD,H,,H 18,37.352,2 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=metro zachod_8_4_h_mk_18,/getmedia/04de7e52-a614-4f56-b8ff-ed596af165aa/METRO%20ZACH%c3%93D_8_4_H_MK_18_Rzut%203D_1.jpg?width=276,2025-11-04,,warszawa|DZIELNICA MIESZKANIOWA METRO ZACHÓD|H|H 18
warszawa,MOKOTÓW SPORTOWY,A,,A 35,71.692,4 pokoje z aneksem,Parter,OGRÓDEK,,,False,/pl-pl/warszawa/mieszkanie?id=mokotow sportowy_3_1_a_mk_35,/getmedia/9cea7e54-0f78-44f7-8491-5fd9e701125a/MOKOT%c3%93W%20SPORTOWY_3_1_A_MK_35_Rzut%203D_1.jpg?width=276,2025-11-04,,warszawa|MOKOTÓW SPORTOWY|A|A 35
warszawa,OSIEDLE BOKSERSKA 71,A,,A 17,86.662,4 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/warszawa/mieszkanie?id=bokserska 71_2_1_a_mk_17,/getmedia/059af892-d34a-43e7-9608-c18efa128116/BOKSERSKA%2071_2_1_A_MK_17_Rzut%203D_1.jpg?width=276,2025-11-04,,warszawa|OSIEDLE BOKSERSKA 71|A|A 17
