inwestycja,miasto,liczba_zdjetych,liczba_dodanych,dostepnych_2026-08-30,dostepnych_2026-09-05
APARTAMENTY BEETHOVENA,warszawa,2,2,47,47
APARTAMENTY KAMIEŃSKIEGO,wroclaw,1,0,24,23
APARTAMENTY LITERACKA,warszawa,4,0,139,135
APARTAMENTY METRO WILANOWSKA,warszawa,2,3,208,209
APARTAMENTY MYŚLIBORSKA PARK,warszawa,2,0,140,138
APARTAMENTY PARK MATECZNEGO,krakow,3,0,139,136
DZIELNICA MIESZKANIOWA METRO ZACHÓD,warszawa,11,3,40,33
ESENCJA,trojmiasto,1,0,51,50
KONSTELACJA,trojmiasto,5,0,103,98
LOCUS 2,trojmiasto,1,0,54,53
MOKOTÓW SPORTOWY,warszawa,9,3,260,250
OSIEDLE ARKADIA,wroclaw,1,0,46,45
OSIEDLE BOKSERSKA 71,warszawa,6,4,213,211
OSIEDLE MIĘDZYLESKA,wroclaw,1,0,195,194
OSIEDLE MYŚLIBORSKA,warszawa,1,0,74,73
OSIEDLE PRZY BŁONIACH 3,trojmiasto,1,0,107,106
OSIEDLE PRZY WIELICKIEJ,krakow,2,0,188,186
OSIEDLE RAPSODIA,wroclaw,2,0,69,67
OSIEDLE URBINO,warszawa,7,2,144,140
OSIEDLE WILNO,warszawa,5,3,304,302
PRZYSTAŃ BRZEŹNO,trojmiasto,3,0,115,112
WARSZAWSKA,trojmiasto,1,0,86,85
WILLE BISKUPIN,wroclaw,1,0,60,59
WZGÓRZE MARKOWCA,trojmiasto,1,0,63,62
ZAJEZDNIA MOTŁAWA,trojmiasto,3,111,44,155
29. ALEJA,krakow,0,1,27,28
APARTAMENTY RUDNICKIEGO,warszawa,0,1,0,1
APARTAMENTY GRZYBOWSKA 11,warszawa,0,0,77,77
APARTAMENTY NAD OŁAWKĄ,wroclaw,0,0,11,11
APARTAMENTY NAD RZEKĄ,wroclaw,0,0,2,2
DOKI,trojmiasto,0,0,110,110
GDAŃSKIE ZACISZE,trojmiasto,0,0,65,65
HUBSKA 100,wroclaw,0,0,8,8
LEŚNA GÓRA,trojmiasto,0,0,29,29
ORZECHOWA,trojmiasto,0,0,115,115
OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,krakow,0,0,2,2
OSIEDLE PARK ŚWIETLIKÓW,wroclaw,0,0,58,58
OSIEDLE PRZY MALBORSKIEJ,krakow,0,0,6,6
OSIEDLE PRZY RYŻOWEJ,warszawa,0,0,1,1
OSIEDLE ZIELNA,wroclaw,0,0,1,1
OSOBOWICKA 114,wroclaw,0,0,35,35
PRZYSTANEK PRĄDNIK,krakow,0,0,65,65
SYNTEZA,trojmiasto,0,0,7,7
