city,investment,building,handover_date,flat,area_m2,rooms,floor,logy,price_new_zlm2,price_old_zlm2,promo,link,img,date_scraped,total_price_zl,key
krakow,29. ALEJA,E,,E-7,40.052,2 pokoje z aneksem,1 piętro,BALKON,181502.0,191002.0,True,/pl-pl/krakow/mieszkanie?id=29. aleja_2_1_e_mk_7,/getmedia/438ae018-aa3b-43a0-a474-e4e0f43c404f/29.%20ALEJA_2_1_E_MK_7_Rzut%203D_1.jpg?width=276,2026-01-12,7269518.104,krakow|29. ALEJA|E|E-7
krakow,29. ALEJA,C,,C-118,43.132,2 pokoje z aneksem,8 piętro,LOGGIA,,,False,/pl-pl/krakow/mieszkanie?id=29. aleja_2_2_c_mk_118,/getmedia/724f80a8-b216-4383-add0-40331fa2e63b/29.%20ALEJA_2_2_C_MK_118_Rzut%203D_1.jpg?width=276,2026-01-12,,krakow|29. ALEJA|C|C-118
krakow,APARTAMENTY PARK MATECZNEGO,B,,B-21,47.752,2 pokoje z aneksem,5 piętro,"BALKON, TARAS",,,False,/pl-pl/krakow/mieszkanie?id=apartamenty park matecznego_1_2_b_mk_21,/getmedia/20fbc525-34cf-42d3-9f32-7424bdafbc17/APARTAMENTY%20PARK%20MATECZNEGO_1_2_B_MK_21_Rzut%203D_1.jpg?width=276,2026-01-12,,krakow|APARTAMENTY PARK MATECZNEGO|B|B-21
krakow,OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,C,,C-49,48.912,2 pokoje z aneksem,2 piętro,LOGGIA,142502.0,150002.0,True,/pl-pl/krakow/mieszkanie?id=gorka narodowa_5_2_c_mk_49,/getmedia/2ecb69a6-7008-4447-aca2-08469170370e/G%c3%93RKA%20NARODOWA_5_2_C_MK_49_Rzut%203D_1.jpg?width=276,2026-01-12,6970057.824,krakow|OSIEDLE MIESZKANIOWE GÓRKA NARODOWA|C|C-49
krakow,OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,D,,D-1,53.862,3 pokoje z aneksem,Parter,OGRÓDEK,136802.0,144002.0,True,/pl-pl/krakow/mieszkanie?id=gorka narodowa_5_2_d_mk_1,/getmedia/dad758d8-3c65-4ba7-a986-540b5a40bab0/G%c3%93RKA%20NARODOWA_5_2_D_MK_1_Rzut%203D_1.jpg?width=276,2026-01-12,7368429.324,krakow|OSIEDLE MIESZKANIOWE GÓRKA NARODOWA|D|D-1
krakow,OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,A,,A-34,41.632,2 pokoje z aneksem,2 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=gorka narodowa_5_1_a_mk_34,/getmedia/ddc8b4a1-0022-4d85-8c3b-9e985775db1e/G%c3%93RKA%20NARODOWA_5_1_A_MK_34_Rzut%203D_1.jpg?width=276,2026-01-12,,krakow|OSIEDLE MIESZKANIOWE GÓRKA NARODOWA|A|A-34
krakow,OSIEDLE MIESZKANIOWE GÓRKA NARODOWA,C,,C-37,38.822,2 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/krakow/mieszkanie?id=gorka narodowa_5_2_c_mk_37,/getmedia/661fb814-7068-4e79-9cf9-ce230383df1c/G%c3%93RKA%20NARODOWA_5_2_C_MK_37_Rzut%203D_1.jpg?width=276,2026-01-12,,krakow|OSIEDLE MIESZKANIOWE GÓRKA NARODOWA|C|C-37
wroclaw,APARTAMENTY NAD OŁAWKĄ,B,,B 45,60.182,3 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=apartamenty nad olawka_2_1_b_mk_45,/getmedia/766c963e-8ad9-422c-b175-52945e37de7f/APARTAMENTY%20NAD%20O%c5%81AWK%c4%84_2_1_B_MK_45_Rzut%203D_1.jpg?width=276,2026-01-12,,wroclaw|APARTAMENTY NAD OŁAWKĄ|B|B 45
wroclaw,APARTAMENTY NAD OŁAWKĄ,B,,B 73,62.622,3 pokoje z aneksem,3 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=apartamenty nad olawka_2_1_b_mk_73,/getmedia/f6d12f59-4a48-466e-8317-d1b81729c83c/APARTAMENTY%20NAD%20O%c5%81AWK%c4%84_2_1_B_MK_73_Rzut%203D_1.jpg?width=276,2026-01-12,,wroclaw|APARTAMENTY NAD OŁAWKĄ|B|B 73
wroclaw,APARTAMENTY NAD OŁAWKĄ,B,,B 75,49.792,3 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=apartamenty nad olawka_2_1_b_mk_75,/getmedia/8482aaa4-06d6-46fc-83af-cbbdca60aebb/APARTAMENTY%20NAD%20O%c5%81AWK%c4%84_2_1_B_MK_75_Rzut%203D_1.jpg?width=276,2026-01-12,,wroclaw|APARTAMENTY NAD OŁAWKĄ|B|B 75
wroclaw,HUBSKA 100,B,,B 94,47.072,1 pokój z aneksem,4 piętro,BALKON,139002.0,146502.0,True,/pl-pl/wroclaw/mieszkanie?id=hubska 100_1_1_b_mk_94,/getmedia/09007e70-8848-44f0-9a38-8199c891f5df/HUBSKA%20100_1_1_B_MK_94_Rzut%203D_1.jpg?width=276,2026-01-12,6543102.144,wroclaw|HUBSKA 100|B|B 94
wroclaw,HUBSKA 100,A,,A 33,53.132,2 pokoje,2 piętro,LOGGIA,,,False,/pl-pl/wroclaw/mieszkanie?id=hubska 100_2_1_a_mk_33,/getmedia/cbfd7191-95c6-46d7-8205-eba0395dd49a/HUBSKA%20100_2_1_A_MK_33_Rzut%203D_1.jpg?width=276,2026-01-12,,wroclaw|HUBSKA 100|A|A 33
wroclaw,HUBSKA 100,A,,A 72,77.702,4 pokoje z aneksem,4 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=hubska 100_2_1_a_mk_72,/getmedia/e182f430-9a11-41ca-904a-2e76f7b3c977/HUBSKA%20100_2_1_A_MK_72_Rzut%203D_1.jpg?width=276,2026-01-12,,wroclaw|HUBSKA 100|A|A 72
wroclaw,OSIEDLE ARKADIA,B2,,B2 20,66.262,4 pokoje z aneksem,1 piętro,BALKON,116002.0,122002.0,True,/pl-pl/wroclaw/mieszkanie?id=osiedle arkadia_1_1_b2_mk_20,/getmedia/9c666b5e-89a2-4366-a01d-8cadfbaae141/OSIEDLE%20ARKADIA_1_1_B2_MK_20_Rzut%203D_1.jpg?width=276,2026-01-12,7686524.524,wroclaw|OSIEDLE ARKADIA|B2|B2 20
wroclaw,OSIEDLE HARMONIA,A,,A 50,57.492,dwu­poziomowe,2 piętro,BALKON,97502.0,105002.0,True,/pl-pl/wroclaw/mieszkanie?id=osiedle harmonia_1_1_a_mk_50,/getmedia/73a53d91-e5ff-4d2e-8087-5c3af6afd1aa/OSIEDLE%20HARMONIA_1_1_A_MK_50_Rzut%203D_1.jpg?width=276,2026-01-12,5605584.984,wroclaw|OSIEDLE HARMONIA|A|A 50
wroclaw,OSIEDLE MIĘDZYLESKA,A,,A 104,42.732,2 pokoje z aneksem,2 piętro,LOGGIA,133002.0,140002.0,True,/pl-pl/wroclaw/mieszkanie?id=miedzyleska_3_1_a_mk_104,/getmedia/a2f0502e-19fe-4a50-81de-7f7bfe5925fe/MI%c4%98DZYLESKA_3_1_A_MK_104_Rzut%203D_1.jpg?width=276,2026-01-12,5683441.464,wroclaw|OSIEDLE MIĘDZYLESKA|A|A 104
wroclaw,OSIEDLE MIĘDZYLESKA,A,,A 116,98.002,5 pokoi z aneksem,5 piętro,LOGGIA,,,False,/pl-pl/wroclaw/mieszkanie?id=miedzyleska_3_1_a_mk_116,/getmedia/3e5963db-59da-473b-8654-c0a3d718b501/MI%c4%98DZYLESKA_3_1_A_MK_116_Rzut%203D_1.jpg?width=276,2026-01-12,,wroclaw|OSIEDLE MIĘDZYLESKA|A|A 116
wroclaw,OSIEDLE RAPSODIA,B,,B 10,41.082,2 pokoje z aneksem,1 piętro,BALKON,,,False,/pl-pl/wroclaw/mieszkanie?id=osiedle rapsodia_2_1_b_mk_10,/getmedia/870fae91-d2f0-4f96-852d-7f31258a0984/OSIEDLE%20RAPSODIA_2_1_B_MK_10_Rzut%203D_1.jpg?width=276,2026-01-12,,wroclaw|OSIEDLE RAPSODIA|B|B 10
